shape_k,cv,MD_constrained,MD_unconstrained,gap,sum_err,seed
3.0,0.577,0.03447503197799367,0.040342169820408565,-0.005867137842414896,0.0,3
3.0,0.577,0.033989721330344294,0.04742048505581765,-0.013430763725473353,0.0,4
3.0,0.577,0.029219597629113036,0.05216118877851656,-0.022941591149403525,0.0,5
3.0,0.577,0.041732780527311206,0.03434569458949454,0.007387085937816666,0.0,6
3.0,0.577,0.021843103649025582,0.0838132182149192,-0.061970114565893616,0.0,7
3.0,0.577,0.03258453728230318,0.04966146929913424,-0.01707693201683106,0.0,8
3.0,0.577,0.027500976691726,0.0256306711801362,0.001870305511589801,0.0,9
2.0,0.707,0.029991585310113728,0.04407832536487429,-0.014086740054760565,0.0,0
2.0,0.707,0.02765242858392342,0.030063245713380614,-0.002410817129457194,0.0,1
2.0,0.707,0.035762815645828845,0.03727562043767968,-0.0015128047918508344,0.0,2
2.0,0.707,0.03770744375501667,0.038216472532536,-0.0005090287775193353,0.0,3
2.0,0.707,0.030179148557177213,0.04495626823225256,-0.014777119675075345,0.0,4
2.0,0.707,0.02953334933611733,0.05397136728644554,-0.02443801795032821,0.0,5
2.0,0.707,0.045114114382676686,0.035471514298727476,0.00964260008394921,0.0,6
2.0,0.707,0.023219394543159067,0.08412476701200586,-0.060905372468846794,0.0,7
2.0,0.707,0.03191811789181575,0.05158796518660222,-0.01966984729478647,0.0,8
2.0,0.707,0.026214742811999432,0.02798427092449619,-0.0017695281124967578,0.0,9
1.5,0.816,0.029472808816881267,0.04221698260311252,-0.012744173786231251,0.0,0
1.5,0.816,0.027488609836520506,0.03311574790547753,-0.005627138068957021,0.0,1
1.5,0.816,0.0400465883482025,0.034566510167126765,0.005480078181075737,0.0,2
1.5,0.816,0.04210033573960568,0.04484267348862396,-0.0027423377490182824,0.0,3
1.5,0.816,0.03055627642683274,0.04290489471651243,-0.012348618289679692,0.0,4
1.5,0.816,0.028546795671141288,0.05790271229129882,-0.029355916620157532,0.0,5
1.5,0.816,0.04928084157087921,0.04146712021683436,0.007813721354044852,0.0,6
1.5,0.816,0.023990517357614365,0.07989469555139236,-0.055904178193778,0.0,7
1.5,0.816,0.03392578048186948,0.05284750534604719,-0.01892172486417771,0.0,8
1.5,0.816,0.027577502737127328,0.02804315845899701,-0.00046565572186968093,0.0,9
1.0,1.0,0.02732534785899345,0.04328006286105671,-0.015954715002063264,0.0,0
1.0,1.0,0.0345796463857068,0.050292442948073814,-0.015712796562367015,0.0,1
1.0,1.0,0.024946220528761016,0.03920789684848539,-0.014261676319724376,0.0,2
1.0,1.0,0.02290545334033529,0.06364898404786827,-0.04074353070753298,0.0,3
1.0,1.0,0.03365232413277478,0.09242630062768308,-0.058773976494908294,0.0,4
1.0,1.0,0.03794374346634588,0.04803484710025191,-0.010091103633906029,0.0,5
1.0,1.0,0.040871032942957054,0.05725835097384059,-0.016387318030883537,0.0,6
1.0,1.0,0.030861248228503172,0.04433186070884772,-0.013470612480344545,0.0,7
1.0,1.0,0.02632526316772681,0.0470180711167878,-0.020692807949060994,0.0,8
1.0,1.0,0.033494303072477465,0.06352942975402695,-0.030035126681549486,0.0,9
0.7,1.195,0.060210284371675145,0.0770538039677018,-0.016843519596026653,1.4551915228366852e-11,0
0.7,1.195,0.04822099347200406,0.06409962262566264,-0.015878629153658584,0.0,1
0.7,1.195,0.02550456933450967,0.04120269835625346,-0.01569812902174379,0.0,2
0.7,1.195,0.04295085663082651,0.05642464127425453,-0.013473784643428022,0.0,3
0.7,1.195,0.043451425077936666,0.0446044266778751,-0.001153001599938433,0.0,4
0.7,1.195,0.04846673117144824,0.04848667985674616,-1.9948685297921376e-05,0.0,5
0.7,1.195,0.044527142436093486,0.0417252711799766,0.002801871256116889,0.0,6
0.7,1.195,0.06047855098840972,0.05858738747827589,0.0018911635101338323,0.0,7
0.7,1.195,0.03241975769852345,0.0686384218157044,-0.03621866411718095,0.0,8
0.7,1.195,0.054016565775627044,0.029535971990735523,0.02448059378489152,0.0,9
0.5,1.414,0.07468267962568065,0.08417573470102065,-0.009493055075339998,0.0,0
0.5,1.414,0.04705447842762903,0.06459929734035845,-0.017544818912729417,0.0,1
0.5,1.414,0.03792698045515332,0.043430850777609636,-0.00550387032245632,0.0,2
0.5,1.414,0.05245347433657671,0.06029572052783902,-0.007842246191262309,0.0,3
0.5,1.414,0.044611476727550996,0.03245502046533181,0.012156456262219187,0.0,4
0.5,1.414,0.0518491144992162,0.07246616207381773,-0.020617047574601532,0.0,5
0.5,1.414,0.05174538524882446,0.04028159009742064,0.011463795151403819,0.0,6
0.5,1.414,0.06543696849345222,0.07356689350607878,-0.008129925012626563,0.0,7
0.5,1.414,0.02959466470104333,0.082823471434089,-0.05322880673304567,0.0,8
0.5,1.414,0.05938211962979096,0.02845036790666419,0.03093175172312677,0.0,9
0.35,1.69,0.07289652432667146,0.11411385231334335,-0.041217327986671895,0.0,0
0.35,1.69,0.05406262767841556,0.08602480915617468,-0.031962181477759116,0.0,1
0.35,1.69,0.05167747815078373,0.04637697152859583,0.005300506622187902,0.0,2
0.35,1.69,0.06817135468952716,0.06732940956603198,0.000841945123495183,0.0,3
0.35,1.69,0.056378814305938274,0.04722204969757272,0.009156764608365557,0.0,4
0.35,1.69,0.0665715411941563,0.09028988822071998,-0.023718347026563683,0.0,5
0.35,1.69,0.07036013745407389,0.05211102560082972,0.018249111853244175,0.0,6
0.35,1.69,0.07359702708668112,0.08421522232241647,-0.010618195235735359,0.0,7
0.35,1.69,0.032960724424197285,0.09340549175500829,-0.060444767330811,0.0,8
0.35,1.69,0.08354755304416175,0.04652216910308609,0.037025383941075664,0.0,9
0.25,2.0,0.12074296320710912,0.14788087053771398,-0.027137907330604866,0.0,0
0.25,2.0,0.06619220052533824,0.11988695889154725,-0.05369475836620902,0.0,1
0.25,2.0,0.0659348345272474,0.07258400988789157,-0.0066491753606441745,0.0,2
0.25,2.0,0.09732158450166449,0.10338898760803963,-0.006067403106375144,0.0,3
0.25,2.0,0.06772772435634883,0.06965224926607676,-0.0019245249097279288,0.0,4
