task,baseline,CSC,ran,secs,AME,FIVR,CSAT,DET,seed,input_type,reason
fintech_volume_curve,misata,1,True,0.146,0.0,0.0,1.0,,45,nl,
fintech_volume_curve,faker,1,True,0.002,0.8925258343911308,0.0,1.0,,45,schema,
fintech_volume_curve,naive_rescale,1,True,0.026,1.4551915228366853e-16,0.0,1.0,,45,schema,
fintech_volume_curve,sdv_gaussian_copula,0,False,,,,,,45,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_ctgan,0,False,,,,,,45,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_hma,0,False,,,,,,45,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,misata,1,True,0.145,0.0,0.0,1.0,,46,nl,
fintech_volume_curve,faker,1,True,0.002,0.9003247242624185,0.0,1.0,,46,schema,
fintech_volume_curve,naive_rescale,1,True,0.026,1.4551915228366853e-16,0.0,1.0,,46,schema,
fintech_volume_curve,sdv_gaussian_copula,0,False,,,,,,46,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_ctgan,0,False,,,,,,46,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_hma,0,False,,,,,,46,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,misata,1,True,0.145,0.0,0.0,1.0,,47,nl,
fintech_volume_curve,faker,1,True,0.002,0.9034644475506896,0.0,1.0,,47,schema,
fintech_volume_curve,naive_rescale,1,True,0.026,1.4551915228366853e-16,0.0,1.0,,47,schema,
fintech_volume_curve,sdv_gaussian_copula,0,False,,,,,,47,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_ctgan,0,False,,,,,,47,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_hma,0,False,,,,,,47,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,misata,1,True,0.145,0.0,0.0,1.0,,48,nl,
fintech_volume_curve,faker,1,True,0.002,0.9032171412760869,0.0,1.0,,48,schema,
fintech_volume_curve,naive_rescale,1,True,0.027,1.4551915228366853e-16,0.0,1.0,,48,schema,
fintech_volume_curve,sdv_gaussian_copula,0,False,,,,,,48,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_ctgan,0,False,,,,,,48,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_hma,0,False,,,,,,48,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,misata,1,True,0.148,0.0,0.0,1.0,,49,nl,
fintech_volume_curve,faker,1,True,0.002,0.8977218932897716,0.0,1.0,,49,schema,
fintech_volume_curve,naive_rescale,1,True,0.027,1.4551915228366853e-16,0.0,1.0,,49,schema,
fintech_volume_curve,sdv_gaussian_copula,0,False,,,,,,49,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_ctgan,0,False,,,,,,49,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_hma,0,False,,,,,,49,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,misata,1,True,0.146,0.0,0.0,1.0,,50,nl,
fintech_volume_curve,faker,1,True,0.002,0.8996354907323442,0.0,1.0,,50,schema,
fintech_volume_curve,naive_rescale,1,True,0.026,0.0,0.0,1.0,,50,schema,
fintech_volume_curve,sdv_gaussian_copula,0,False,,,,,,50,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_ctgan,0,False,,,,,,50,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_hma,0,False,,,,,,50,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,misata,1,True,0.146,0.0,0.0,1.0,,51,nl,
fintech_volume_curve,faker,1,True,0.002,0.899004365122548,0.0,1.0,,51,schema,
fintech_volume_curve,naive_rescale,1,True,0.027,0.0,0.0,1.0,,51,schema,
fintech_volume_curve,sdv_gaussian_copula,0,False,,,,,,51,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_ctgan,0,False,,,,,,51,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_hma,0,False,,,,,,51,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,misata,1,True,0.049,0.0,0.0,1.0,1.0,42,nl,
ecommerce_revenue_curve,faker,1,True,0.002,0.8947462556954114,0.0,1.0,1.0,42,schema,
ecommerce_revenue_curve,naive_rescale,1,True,0.029,0.0,0.0,1.0,1.0,42,schema,
ecommerce_revenue_curve,sdv_gaussian_copula,0,False,,,,,,42,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_ctgan,0,False,,,,,,42,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_hma,0,False,,,,,,42,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,misata,1,True,0.049,0.0,0.0,1.0,,43,nl,
ecommerce_revenue_curve,faker,1,True,0.002,0.9041526467110191,0.0,1.0,,43,schema,
ecommerce_revenue_curve,naive_rescale,1,True,0.03,0.0,0.0,1.0,,43,schema,
ecommerce_revenue_curve,sdv_gaussian_copula,0,False,,,,,,43,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_ctgan,0,False,,,,,,43,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_hma,0,False,,,,,,43,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,misata,1,True,0.049,0.0,0.0,1.0,,44,nl,
ecommerce_revenue_curve,faker,1,True,0.002,0.8988743786339863,0.0,1.0,,44,schema,
ecommerce_revenue_curve,naive_rescale,1,True,0.03,1.8189894035458566e-16,0.0,1.0,,44,schema,
ecommerce_revenue_curve,sdv_gaussian_copula,0,False,,,,,,44,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_ctgan,0,False,,,,,,44,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_hma,0,False,,,,,,44,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,misata,1,True,0.05,0.0,0.0,1.0,,45,nl,
ecommerce_revenue_curve,faker,1,True,0.002,0.8954779006705794,0.0,1.0,,45,schema,
ecommerce_revenue_curve,naive_rescale,1,True,0.029,0.0,0.0,1.0,,45,schema,
ecommerce_revenue_curve,sdv_gaussian_copula,0,False,,,,,,45,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_ctgan,0,False,,,,,,45,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_hma,0,False,,,,,,45,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,misata,1,True,0.05,0.0,0.0,1.0,,46,nl,
ecommerce_revenue_curve,faker,1,True,0.002,0.9008323099873429,0.0,1.0,,46,schema,
ecommerce_revenue_curve,naive_rescale,1,True,0.029,0.0,0.0,1.0,,46,schema,
ecommerce_revenue_curve,sdv_gaussian_copula,0,False,,,,,,46,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_ctgan,0,False,,,,,,46,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,sdv_hma,0,False,,,,,,46,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_revenue_curve,misata,1,True,0.051,0.0,0.0,1.0,,47,nl,
ecommerce_revenue_curve,faker,1,True,0.002,0.9004373526411809,0.0,1.0,,47,schema,
ecommerce_revenue_curve,naive_rescale,1,True,0.03,0.0,0.0,1.0,,47,schema,
